,index,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
154,143,5670000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
155,160,5670000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
156,162,5670000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
157,166,5640000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
158,161,5630000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
159,147,5630000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
160,144,5610000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
161,153,5600000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
162,158,5570000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
163,163,5570000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
164,174,5560000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
165,167,5560000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
166,173,5540000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
167,169,5520000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
168,179,5500000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
169,168,5480000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
170,159,5480000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
171,176,5470000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
172,181,5440000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
173,164,5440000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
174,186,5410000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
175,165,5400000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
176,178,5400000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
177,185,5400000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
178,177,5350000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
179,175,5340000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
180,171,5340000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
181,182,5330000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
182,183,5320000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
183,180,5310000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
184,170,5310000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
185,172,5270000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
186,189,5230000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
187,190,5230000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
188,193,5220000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
189,188,5210000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
190,196,5210000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
191,198,5180000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
192,184,5150000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
193,212,5150000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
194,191,5140000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
195,192,5140000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
196,187,5140000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
197,211,5140000,12900,3,1,1,yes,no,no,no,no,2,no,furnished
198,194,5100000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
199,208,5100000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
200,203,5090000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
201,206,5070000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
202,210,5060000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
203,209,5060000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
204,215,5060000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
205,197,5050000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
206,201,5040000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
207,199,5030000,4200,3,1,2,yes,no,no,no,no,1,no,furnished
208,195,5030000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
209,219,5020000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
210,207,5010000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
211,200,5000000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
212,214,5000000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
213,224,4990000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
214,220,4970000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
215,222,4970000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
216,225,4960000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
217,204,4940000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
218,216,4940000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
219,205,4920000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
220,202,4910000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
221,213,4900000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
222,223,4870000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
223,218,4860000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
224,233,4850000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
225,232,4840000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
226,217,4840000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
227,236,4820000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
228,221,4810000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
229,242,4810000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
230,229,4770000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
231,231,4770000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
232,246,4770000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
233,239,4770000,4000,3,1,2,yes,no,no,no,no,1,no,furnished
234,252,4760000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
235,228,4760000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
236,227,4740000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
237,234,4740000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
238,249,4740000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
239,240,4740000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
240,243,4730000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
241,226,4720000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
242,241,4720000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
243,238,4710000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
244,253,4710000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
245,230,4700000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
246,260,4700000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
247,248,4690000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
248,237,4680000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
249,263,4670000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
250,250,4670000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
251,258,4650000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
252,235,4650000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
253,247,4640000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
254,251,4630000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
255,244,4620000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
256,266,4610000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
257,256,4600000,4000,3,1,2,yes,no,no,no,no,2,no,furnished
258,273,4590000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
259,259,4570000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
260,261,4570000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
261,245,4570000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
262,271,4560000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
263,265,4560000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
264,272,4540000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
265,262,4510000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
266,257,4510000,8250,3,1,1,yes,no,no,no,no,0,no,furnished
267,254,4510000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
268,264,4490000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
269,282,4480000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
270,269,4480000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
271,255,4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
272,276,4480000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
273,277,4470000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
274,292,4450000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
275,289,4450000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
276,274,4450000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
277,285,4450000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
278,305,4440000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
279,267,4430000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
280,300,4410000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
281,278,4410000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
282,275,4400000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
283,299,4400000,7000,3,1,1,yes,no,no,no,no,3,no,furnished
284,293,4400000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
285,290,4400000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
286,284,4400000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
287,270,4390000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
288,268,4380000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
289,283,4370000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
290,281,4360000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
291,311,4350000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
292,279,4340000,6360,2,1,1,yes,no,no,no,no,0,no,furnished
293,286,4330000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
294,304,4320000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
295,280,4320000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
296,296,4320000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
297,319,4300000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
298,308,4300000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
299,318,4290000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
300,306,4290000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
301,312,4290000,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
302,287,4290000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
303,314,4280000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
304,303,4260000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
305,298,4260000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
306,297,4260000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
307,288,4250000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
308,291,4240000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
309,307,4240000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
310,294,4230000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
311,302,4230000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
312,295,4230000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
313,301,4220000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
314,324,4200000,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
315,320,4200000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
316,329,4180000,3960,3,1,2,yes,no,no,no,no,0,no,furnished
317,313,4170000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
318,309,4170000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
319,323,4140000,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
320,310,4140000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
321,315,4130000,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
322,325,4130000,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
323,328,4120000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
324,317,4090000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
325,333,4090000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
326,337,4080000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
327,316,4070000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
328,321,4070000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
329,322,4060000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
330,342,4060000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
331,340,4050000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
332,335,4040000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
333,327,4030000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
334,331,4030000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
335,339,4020000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
336,344,4020000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
337,326,4020000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
338,330,4010000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
339,350,4000000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
340,338,4000000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
341,347,4000000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
342,345,4000000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
343,334,3990000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
344,349,3990000,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
345,341,3980000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
346,336,3980000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
347,355,3960000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
348,332,3960000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
349,348,3920000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
350,351,3920000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
351,358,3910000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
