,date,sales
167,2023-06-17,1495
168,2023-06-18,2610
169,2023-06-19,6403
170,2023-06-20,6368
171,2023-06-21,8508
172,2023-06-22,8522
173,2023-06-23,7090
174,2023-06-24,7281
175,2023-06-25,7677
176,2023-06-26,3414
177,2023-06-27,4224
178,2023-06-28,4100
179,2023-06-29,4712
180,2023-06-30,7761
181,2023-07-01,1340
182,2023-07-02,5945
183,2023-07-03,1267
184,2023-07-04,6693
185,2023-07-05,2700
186,2023-07-06,7589
187,2023-07-07,7914
188,2023-07-08,4419
189,2023-07-09,5450
190,2023-07-10,9141
191,2023-07-11,2239
192,2023-07-12,5600
193,2023-07-13,3718
194,2023-07-14,1380
195,2023-07-15,1529
196,2023-07-16,2298
197,2023-07-17,4442
198,2023-07-18,5082
199,2023-07-19,6845
200,2023-07-20,7277
201,2023-07-21,9698
202,2023-07-22,4506
203,2023-07-23,8017
204,2023-07-24,7737
205,2023-07-25,2480
206,2023-07-26,9271
207,2023-07-27,3622
208,2023-07-28,1027
209,2023-07-29,9350
210,2023-07-30,3670
211,2023-07-31,7665
212,2023-08-01,8968
213,2023-08-02,4411
214,2023-08-03,3416
215,2023-08-04,7109
216,2023-08-05,8816
217,2023-08-06,8779
218,2023-08-07,3002
219,2023-08-08,6116
220,2023-08-09,6542
221,2023-08-10,9674
222,2023-08-11,5774
223,2023-08-12,2558
224,2023-08-13,1271
225,2023-08-14,7582
226,2023-08-15,8050
227,2023-08-16,5860
228,2023-08-17,4974
229,2023-08-18,5156
230,2023-08-19,1013
231,2023-08-20,2073
232,2023-08-21,2241
233,2023-08-22,1970
234,2023-08-23,8010
235,2023-08-24,3834
236,2023-08-25,3168
237,2023-08-26,1203
238,2023-08-27,5744
239,2023-08-28,3807
240,2023-08-29,4860
241,2023-08-30,9200
242,2023-08-31,3718
243,2023-09-01,4709
244,2023-09-02,1398
245,2023-09-03,7169
246,2023-09-04,8006
247,2023-09-05,7548
248,2023-09-06,3212
249,2023-09-07,5665
250,2023-09-08,4827
251,2023-09-09,6881
252,2023-09-10,7271
253,2023-09-11,7875
254,2023-09-12,2229
255,2023-09-13,9213
256,2023-09-14,7971
257,2023-09-15,7635
258,2023-09-16,4201
259,2023-09-17,3885
260,2023-09-18,9148
261,2023-09-19,1462
262,2023-09-20,8937
263,2023-09-21,5887
264,2023-09-22,6963
265,2023-09-23,9255
266,2023-09-24,2011
267,2023-09-25,5706
268,2023-09-26,8611
269,2023-09-27,6182
270,2023-09-28,7811
271,2023-09-29,5916
272,2023-09-30,8212
273,2023-10-01,8792
274,2023-10-02,3519
275,2023-10-03,1297
276,2023-10-04,8791
277,2023-10-05,6353
278,2023-10-06,6382
279,2023-10-07,7746
280,2023-10-08,6146
281,2023-10-09,5050
282,2023-10-10,2187
283,2023-10-11,8369
284,2023-10-12,4231
285,2023-10-13,4529
286,2023-10-14,7465
287,2023-10-15,1564
288,2023-10-16,3199
289,2023-10-17,7815
290,2023-10-18,5510
291,2023-10-19,2561
292,2023-10-20,3260
293,2023-10-21,5565
294,2023-10-22,7858
295,2023-10-23,1248
296,2023-10-24,2193
297,2023-10-25,9360
298,2023-10-26,8877
299,2023-10-27,5539
300,2023-10-28,3435
301,2023-10-29,6577
302,2023-10-30,9987
303,2023-10-31,4051
304,2023-11-01,5366
305,2023-11-02,2355
306,2023-11-03,2011
307,2023-11-04,2802
308,2023-11-05,5094
309,2023-11-06,1945
310,2023-11-07,6215
311,2023-11-08,5733
312,2023-11-09,3418
313,2023-11-10,3757
314,2023-11-11,2482
315,2023-11-12,7807
316,2023-11-13,6289
317,2023-11-14,1529
318,2023-11-15,1995
319,2023-11-16,2084
320,2023-11-17,2165
321,2023-11-18,7498
322,2023-11-19,6804
323,2023-11-20,9188
324,2023-11-21,8104
325,2023-11-22,4158
326,2023-11-23,4167
327,2023-11-24,6669
328,2023-11-25,9643
329,2023-11-26,5824
330,2023-11-27,9994
331,2023-11-28,3493
332,2023-11-29,8606
333,2023-11-30,6821
334,2023-12-01,9592
335,2023-12-02,7491
336,2023-12-03,2917
337,2023-12-04,1248
338,2023-12-05,6268
339,2023-12-06,5009
340,2023-12-07,3209
341,2023-12-08,2039
342,2023-12-09,2191
343,2023-12-10,4614
344,2023-12-11,9693
345,2023-12-12,8336
346,2023-12-13,8933
347,2023-12-14,3800
348,2023-12-15,8643
349,2023-12-16,6506
350,2023-12-17,1549
351,2023-12-18,6261
352,2023-12-19,4120
353,2023-12-20,7380
354,2023-12-21,9677
355,2023-12-22,5005
356,2023-12-23,8475
357,2023-12-24,7473
358,2023-12-25,4172
359,2023-12-26,7551
360,2023-12-27,2226
361,2023-12-28,2620
362,2023-12-29,6730
363,2023-12-30,6386
364,2023-12-31,6347
365,2024-01-01,7625
366,2024-01-02,3057
367,2024-01-03,1495
368,2024-01-04,3737
369,2024-01-05,3245
370,2024-01-06,9079
371,2024-01-07,6123
372,2024-01-08,2819
373,2024-01-09,9352
374,2024-01-10,8348
375,2024-01-11,2081
376,2024-01-12,9480
377,2024-01-13,8716
378,2024-01-14,1876
379,2024-01-15,7655
380,2024-01-16,3283
381,2024-01-17,2608
382,2024-01-18,3196
383,2024-01-19,4385
384,2024-01-20,4025
385,2024-01-21,5543
386,2024-01-22,3200
387,2024-01-23,9470
388,2024-01-24,6549
389,2024-01-25,1235
390,2024-01-26,1038
391,2024-01-27,6044
392,2024-01-28,6216
393,2024-01-29,8289
394,2024-01-30,1809
395,2024-01-31,7788
396,2024-02-01,6118
397,2024-02-02,1345
398,2024-02-03,2305
399,2024-02-04,3888
400,2024-02-05,5614
401,2024-02-06,1934
402,2024-02-07,4065
403,2024-02-08,4862
404,2024-02-09,9064
405,2024-02-10,7171
406,2024-02-11,6449
407,2024-02-12,6933
408,2024-02-13,3682
409,2024-02-14,1070
410,2024-02-15,7480
411,2024-02-16,1680
412,2024-02-17,3899
413,2024-02-18,4863
414,2024-02-19,7835
415,2024-02-20,3369
416,2024-02-21,8813
417,2024-02-22,8709
418,2024-02-23,9267
419,2024-02-24,6505
420,2024-02-25,5404
421,2024-02-26,9917
422,2024-02-27,6940
423,2024-02-28,4345
424,2024-02-29,2421
