,date,sales
311,2023-11-08,7085
312,2023-11-09,7799
313,2023-11-10,3851
314,2023-11-11,2223
315,2023-11-12,1291
316,2023-11-13,4477
317,2023-11-14,4218
318,2023-11-15,9971
319,2023-11-16,3317
320,2023-11-17,9222
321,2023-11-18,3170
322,2023-11-19,5173
323,2023-11-20,1811
324,2023-11-21,8668
325,2023-11-22,6923
326,2023-11-23,7091
327,2023-11-24,5725
328,2023-11-25,7498
329,2023-11-26,7687
330,2023-11-27,7027
331,2023-11-28,4836
332,2023-11-29,5673
333,2023-11-30,1143
334,2023-12-01,6124
335,2023-12-02,5358
336,2023-12-03,2973
337,2023-12-04,9916
338,2023-12-05,1580
339,2023-12-06,4580
340,2023-12-07,9748
341,2023-12-08,7052
342,2023-12-09,9801
343,2023-12-10,4013
344,2023-12-11,6279
345,2023-12-12,5799
346,2023-12-13,6945
347,2023-12-14,5471
348,2023-12-15,3888
349,2023-12-16,8485
350,2023-12-17,3772
351,2023-12-18,1052
352,2023-12-19,9905
353,2023-12-20,7694
354,2023-12-21,4916
355,2023-12-22,4141
356,2023-12-23,8270
357,2023-12-24,5479
358,2023-12-25,3854
359,2023-12-26,6797
360,2023-12-27,7707
361,2023-12-28,9685
362,2023-12-29,8965
363,2023-12-30,8882
364,2023-12-31,8867
365,2024-01-01,9426
366,2024-01-02,8295
367,2024-01-03,7111
368,2024-01-04,2680
369,2024-01-05,9668
370,2024-01-06,7578
371,2024-01-07,3081
372,2024-01-08,2738
373,2024-01-09,8689
374,2024-01-10,8997
375,2024-01-11,2585
376,2024-01-12,9951
377,2024-01-13,3160
378,2024-01-14,5192
379,2024-01-15,4915
380,2024-01-16,2161
381,2024-01-17,6493
382,2024-01-18,7425
383,2024-01-19,5810
384,2024-01-20,9555
385,2024-01-21,6815
386,2024-01-22,7643
387,2024-01-23,9979
388,2024-01-24,4085
389,2024-01-25,8748
390,2024-01-26,8629
391,2024-01-27,6235
392,2024-01-28,8234
393,2024-01-29,9599
394,2024-01-30,2767
395,2024-01-31,9833
396,2024-02-01,8589
397,2024-02-02,2406
398,2024-02-03,2246
399,2024-02-04,4235
400,2024-02-05,3880
401,2024-02-06,6503
402,2024-02-07,3828
403,2024-02-08,7189
404,2024-02-09,5448
405,2024-02-10,4270
406,2024-02-11,5334
407,2024-02-12,1481
408,2024-02-13,3591
409,2024-02-14,6177
410,2024-02-15,2634
411,2024-02-16,1741
412,2024-02-17,1912
413,2024-02-18,5265
414,2024-02-19,7946
415,2024-02-20,6295
416,2024-02-21,6569
417,2024-02-22,6045
418,2024-02-23,8106
419,2024-02-24,3724
420,2024-02-25,7156
421,2024-02-26,7464
422,2024-02-27,1145
423,2024-02-28,5736
424,2024-02-29,5648
